Date,Close,Ticker
10/10/2016,150.28,COST
10/11/2016,151.01,COST
10/12/2016,150.46,COST
10/13/2016,150.22,COST
10/14/2016,150.15,COST
10/17/2016,148.7,COST
10/18/2016,149.11,COST
10/19/2016,149.45,COST
10/20/2016,150.04,COST
10/21/2016,148.97,COST
10/24/2016,152.12,COST
10/25/2016,150.99,COST
10/26/2016,150.98,COST
10/27/2016,150.86,COST
10/28/2016,149.76,COST
10/31/2016,147.87,COST
11/1/2016,146.66,COST
11/2/2016,146.27,COST
11/3/2016,144.45,COST
11/4/2016,142.24,COST
11/7/2016,143.54,COST
11/8/2016,146.09,COST
11/9/2016,146.79,COST
11/10/2016,146.7,COST
11/11/2016,149.36,COST
11/14/2016,152,COST
11/15/2016,151.15,COST
11/16/2016,152.14,COST
11/17/2016,151.2,COST
11/18/2016,150.36,COST
11/21/2016,151.17,COST
11/22/2016,152.67,COST
11/23/2016,151.6,COST
11/25/2016,151.88,COST
11/28/2016,151.25,COST
11/29/2016,151.48,COST
11/30/2016,150.11,COST
12/1/2016,151.74,COST
12/2/2016,152.09,COST
12/5/2016,151.77,COST
12/6/2016,151.01,COST
12/7/2016,153.85,COST
12/8/2016,157.59,COST
12/9/2016,159.7,COST
12/12/2016,160.33,COST
12/13/2016,159.77,COST
12/14/2016,158.99,COST
12/15/2016,160.11,COST
12/16/2016,160.41,COST
12/19/2016,163.46,COST
12/20/2016,163.86,COST
12/21/2016,163.04,COST
12/22/2016,162.07,COST
12/23/2016,162.08,COST
12/27/2016,162.05,COST
12/28/2016,161.01,COST
12/29/2016,161.13,COST
12/30/2016,160.11,COST
1/3/2017,159.73,COST
1/4/2017,159.76,COST
1/5/2017,162.91,COST
1/6/2017,162.83,COST
1/9/2017,160.97,COST
1/10/2017,161.66,COST
1/11/2017,161.54,COST
1/12/2017,161.87,COST
1/13/2017,161.86,COST
1/17/2017,163.81,COST
1/18/2017,164.27,COST
1/19/2017,163.7,COST
1/20/2017,164.24,COST
1/23/2017,163.01,COST
1/24/2017,163.67,COST
1/25/2017,164.14,COST
1/26/2017,164.07,COST
1/27/2017,162.06,COST
1/30/2017,163.25,COST
1/31/2017,163.95,COST
2/1/2017,161.86,COST
2/2/2017,168.15,COST
2/3/2017,168.32,COST
2/6/2017,167.03,COST
2/7/2017,167.52,COST
2/8/2017,168.42,COST
2/9/2017,170.96,COST
2/10/2017,172,COST
2/13/2017,171.96,COST
2/14/2017,173.63,COST
2/15/2017,175,COST
2/16/2017,175.75,COST
2/17/2017,175.86,COST
2/21/2017,176.94,COST
2/22/2017,176.51,COST
2/23/2017,175.85,COST
2/24/2017,177.56,COST
2/27/2017,177.62,COST
2/28/2017,177.18,COST
3/1/2017,177.86,COST
3/2/2017,177.98,COST
3/3/2017,170.26,COST
3/6/2017,166.73,COST
3/7/2017,167,COST
3/8/2017,166.24,COST
3/9/2017,165.77,COST
3/10/2017,165.37,COST
3/13/2017,164.55,COST
